smiles,inchikey,cas,match,vp_mmHg,vp_source,vp_ref,bp_C,bp_source,mp_C,mp_source,logkow,logkow_source
Cl.Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,QNVKOSLOVOTXKF-UHFFFAOYSA-N,,,,,,,,,,,
CCCCCC=CCC=CCCCCCCCC(=O)[O-],OYHQOLUKZRVURQ-UHFFFAOYSA-M,000060-33-3,stereo-blind,8.68e-07,experimental,"DAUBERT,TE & DANNER,RP:1998",389.1932067871094,estimated,-6.9,experimental,7.05,experimental
CC=C(C)C(=O)OCC(C)C,XDEGQMQKHFPBEW-UHFFFAOYSA-N,061692-84-0,exact,1.0061637590600168,estimated,,179.14614868164062,estimated,-41.369232177734375,estimated,3.0874,estimated
CC=Cc1ccc(OCCCCC)c(OC)c1,IKJFIKIKJWLIQS-UHFFFAOYSA-N,010484-36-3,exact,0.0002841073495041491,estimated,,316.2200012207031,estimated,73.73446655273438,estimated,4.9169,estimated
CCCCC(=O)[O-],NQPDZGIKBAWPEJ-UHFFFAOYSA-M,000109-52-4,stereo-blind,0.196,experimental,"DAUBERT,TE & DANNER,RP:1995",186.1,experimental,-34.0,experimental,1.39,experimental
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,AYIRNRDRBQJXIF-NXEZZACHSA-N,,,5.030716236993223e-13,estimated,,515.8768310546875,estimated,220.01486206054688,estimated,-0.03649974,estimated
Cl.Clc1ccc2nsnc2c1NC1=NCCN1,ZWUKMNZJRDGCTQ-UHFFFAOYSA-N,,,,,,,,,,,
C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2OC(=O)c2c(O)cc(O)cc2-c2cccc(O)c2)OC=C2C(=O)OCC[C@H]21,DBOVHQOUSDWAPQ-WTONXPSSSA-N,,,5.6305930126059224e-27,estimated,,842.18212890625,estimated,349.8399963378906,estimated,1.0261996,estimated
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](N=CN3CCCCCC3)[C@H]2SC1(C)C.Cl,UHPXMYLONAGUPC-WKLLBTDKSA-N,,,,,,,,,,,
CCCCCNC,UOIWOHLIGKIYFE-UHFFFAOYSA-N,025419-06-1,exact,18.00093040045703,estimated,,116.83163452148438,estimated,-54.281951904296875,estimated,1.7918001,estimated
CC(C)CC1=NCCS1,SMSJMGHWVFDVCU-UHFFFAOYSA-N,026851-79-6,exact,0.3793270267066426,estimated,,195.43814086914062,estimated,29.177215576171875,estimated,4.0296,estimated
CCN(CC)CCCCN,JILXUIANNUALRZ-UHFFFAOYSA-N,027431-62-5,exact,0.39373862936349935,estimated,,198.24502563476562,estimated,12.29168701171875,estimated,1.0230997,estimated
CCCCCCCC(=O)[O-],WWZKQHOCKIZLMA-UHFFFAOYSA-M,000124-07-2,stereo-blind,0.00371,experimental,"DAUBERT,TE & DANNER,RP:1995",239.0,experimental,16.3,experimental,3.05,experimental
CCCN[C@H]1CCc2nc(N)sc2C1,FASDKYOPVNHBLU-ZETCQYMHSA-N,,,1.5457366595154035e-05,estimated,,346.1795959472656,estimated,127.347900390625,estimated,2.3379002,estimated
O=C(O)CCCCCCBr,JLPQXFFMVVPIRW-UHFFFAOYSA-N,030515-28-7,exact,0.0049563274733283435,estimated,,280.0,experimental,31.0,experimental,2.8858,estimated
CCCCC=COC(C)=O,YDZCHDQXPLJVBG-UHFFFAOYSA-N,032797-50-5,exact,1.1407860544330333,estimated,,176.54965209960938,estimated,-33.28228759765625,estimated,2.6135998,estimated
c1ccc(COc2ccc3ccccc3c2)cc1,WLTCCDHHWYAMCG-UHFFFAOYSA-N,,,7.588811696396904e-06,estimated,,365.2047424316406,estimated,114.03057861328125,estimated,4.9577,estimated
CCCCCCc1ccc(C(C)=O)cc1,WWBVHJKFJZBRSO-UHFFFAOYSA-N,037592-72-6,exact,0.001126302995869602,estimated,,295.7470397949219,estimated,61.137420654296875,estimated,4.6763997,estimated
CCCC(CO)CCC,LASHFHLFDRTERB-UHFFFAOYSA-N,,,0.14656826992246627,estimated,,188.51632690429688,estimated,-25.50360107421875,estimated,2.7319002,estimated
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.Cl,OWNWYCOLFIFTLK-YDALLXLXSA-N,,,,,,,,,,,
