smiles,inchikey,dtxsid,match,vp_mmHg,vp_source,bp_C,bp_source,logp,logp_source
C=CCCCCCCCC(C)=O,FJHNSGVMPSITEQ-UHFFFAOYSA-N,DTXSID90189772,exact,0.0812830516164099,predicted,226.0,predicted,4.0,predicted
CC/C=C\CCOC(=O)Cc1ccccc1,FJKFIIYSBXHBCT-ARJAWSKDSA-N,DTXSID40884821,exact,0.008128305161640995,predicted,276.0,predicted,3.43,predicted
CCC=CCCOC(=O)Cc1ccccc1,FJKFIIYSBXHBCT-UHFFFAOYSA-N,DTXSID90866096,exact,0.008128305161640995,predicted,276.0,predicted,3.43,predicted
C=COCC,FJKIXWOMBXYWOQ-UHFFFAOYSA-N,DTXSID3029609,exact,512.8613839913648,experimental,36.0,experimental,1.04,experimental
O=C(O)c1ccc(O)cc1,FJKROLUGYXJWQN-UHFFFAOYSA-N,DTXSID3026647,exact,1.9498445997580455e-07,predicted,258.0,predicted,1.58,experimental
CCCCC(=O)C(C)=O,FJPGAMCQJNLTJC-UHFFFAOYSA-N,DTXSID4059128,exact,1.0,predicted,170.0,predicted,0.88,predicted
CCCC/C=C\CCCC=O,FJVGFBFLXXDIAP-WAYWQWQTSA-N,DTXSID30699562,stereo-blind,0.0933254300796991,predicted,213.0,predicted,3.54,predicted
CN(C)CC(=O)O.Cl,FKASAVXZZLJTNX-UHFFFAOYSA-N,DTXSID1062463,exact,0.5248074602497725,predicted,179.0,predicted,-1.28,predicted
CCOC(CCSC)OCC,FKAZTVDSOBDTFU-UHFFFAOYSA-N,DTXSID10168089,exact,0.2570395782768864,predicted,208.0,predicted,2.3,predicted
C=CCCCCCCCO,FKGFCVJJLGSFSB-UHFFFAOYSA-N,DTXSID20454905,exact,0.019498445997580455,predicted,196.0,predicted,3.13,predicted
CC(C)CC(=O)OCc1ccco1,FKGUIBCHHSHJNQ-UHFFFAOYSA-N,DTXSID4065579,exact,0.028840315031266057,predicted,222.0,predicted,2.57,predicted
O=[Si]([O-])[O-].[Mg+2],FKHIFSZMMVMEQY-UHFFFAOYSA-N,DTXSID70893966,exact,,,,,,
Cc1nc2ccccc2nc1C,FKHNZQFCDGOQGV-UHFFFAOYSA-N,DTXSID4062355,exact,0.0003548133892335753,predicted,265.0,predicted,1.9,predicted
NCCCN(CCO)CCO,FKJVYOFPTRGCSP-UHFFFAOYSA-N,DTXSID2044680,exact,6.606934480075964e-06,predicted,266.0,predicted,-0.93,predicted
