smiles,cramer,ames_alert,ames_sa,gradient
CCC(C)C(N)C(=O)O,I,0,,III
CC[C@H](C)[C@H](N)C(=O)O,I,0,,III
CC1OCC=C1SC1(S)CCOC1C,III,0,,none
CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],III,1,SA27_Ames,II
CCNC1CCCCC1,III,0,,III
CCCCCCC(=O)Oc1ccc(C)cc1,I,0,,none
O=C1CCCCCCCCCC/C=C/CCO1,I,0,,none
O=C1CCCCCCCCCC/C=C\CCO1,I,0,,none
O=C1CCCCCCCCCCC=CCCO1,I,0,,none
COC(=O)C1OC1(C)c1ccccc1,III,1,SA7_Ames,none
C=CC=CCC,I,0,,none
CCCCCCOC(=O)C(C)CCC,I,0,,none
CCCCCCCCSC,I,0,,none
CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,III,0,,II
CC(=O)/C=C/c1c(C)ccc(C)c1C,II,0,,none
CC(=O)/C=C\c1c(C)ccc(C)c1C,II,0,,none
C1COC1,II,0,,none
CCCCOC(=S)C(C)C,III,0,,none
CC(=O)C1CCC(=O)O1,I,0,,none
CCCC(=NO)C(C)C,III,0,,none
CCCCCCCCCCCCCCCC=CC=O,II,1,SA10_Ames,none
C=C(C)COC(=O)CCC,I,0,,none
COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,III,0,,none
O=C(Cl)Oc1ccccc1,III,1,SA1_Ames,III
COCc1ccc(O)cc1,III,0,,none
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)OC=O,I,0,,none
CC(=O)OCC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,I,0,,none
CCC=CCC(OC)OC,I,0,,none
CC/C=C\CC(OC)OC,I,0,,none
OCCC1CCCc2ccccc21,II,0,,none
CCC(=O)SC,III,0,,none
CC(=O)C=O,I,1,SA11_Ames,none
